,0
0,0.38775510204082053
1,0.4693877551020478
2,0.5555555555555571
3,0.5825242718446617
4,0.5809523809523824
5,0.5904761904761884
6,0.5904761904761955
7,0.5714285714285694
8,0.5619047619047564
9,0.5619047619047564
10,0.42028985507246386
11,0.8405797101449273
12,0.8260869565217388
13,0.6956521739130435
14,0.8405797101449277
15,0.9275362318840579
16,0.8260869565217388
17,0.8550724637681157
18,0.7101449275362319
19,0.8405797101449273
20,0.0
21,5.75
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.5612244897959187
31,0.3265306122448983
32,0.30612244897958973
33,0.31632653061224936
34,0.28061224489795933
35,0.25510204081632715
36,0.30612244897958973
37,0.31122448979592043
38,0.3520408163265305
39,0.29081632653061185
40,0.4693877551020549
41,0.5612244897959187
42,0.6060606060606091
43,0.5922330097087354
44,0.5904761904761955
45,0.5904761904761884
46,0.5714285714285694
47,0.5619047619047564
48,0.5619047619047564
49,0.6095238095238074
50,0.8405797101449277
51,0.826086956521739
52,0.695652173913043
53,0.8405797101449277
54,0.9275362318840581
55,0.826086956521739
56,0.8550724637681157
57,0.7101449275362319
58,0.8405797101449277
59,0.8840579710144927
60,5.749999999999943
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.3265306122448983
71,0.3061224489795933
72,0.3163265306122458
73,0.28061224489795933
74,0.25510204081632715
75,0.3061224489795933
76,0.31122448979591866
77,0.35204081632653406
78,0.29081632653061185
79,0.295918367346939
80,0.5612244897959258
81,0.6122448979591866
82,0.6161616161616195
83,0.6019417475728233
84,0.5904761904761955
85,0.5714285714285694
86,0.5619047619047564
87,0.5619047619047564
88,0.6095238095238074
89,0.6571428571428513
90,0.8260869565217392
91,0.6956521739130435
92,0.8405797101449273
93,0.9275362318840581
94,0.8260869565217392
95,0.855072463768116
96,0.7101449275362315
97,0.8405797101449277
98,0.8840579710144929
99,0.6956521739130435
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.3061224489795915
111,0.31632653061224403
112,0.28061224489795755
113,0.25510204081632715
114,0.3061224489795915
115,0.31122448979591866
116,0.3520408163265305
117,0.2908163265306172
118,0.295918367346939
119,0.41326530612244916
120,0.6122448979591866
121,0.6224489795918444
122,0.6262626262626299
123,0.6019417475728233
124,0.5714285714285694
125,0.5619047619047564
126,0.5619047619047564
127,0.6095238095238003
128,0.6571428571428513
129,0.6761904761904773
130,0.6956521739130435
131,0.8405797101449273
132,0.9275362318840581
133,0.8260869565217392
134,0.8550724637681162
135,0.7101449275362319
136,0.8405797101449273
137,0.8840579710144927
138,0.6956521739130435
139,0.6086956521739129
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.31632653061224403
151,0.28061224489795933
152,0.25510204081632537
153,0.3061224489795933
154,0.31122448979591866
155,0.3520408163265323
156,0.29081632653061185
157,0.29591836734694077
158,0.41326530612244916
159,0.44897959183673386
160,0.6224489795918444
