,0
0,0.4131736526946099
1,0.38622754491017375
2,0.37125748502994327
3,0.3712574850299397
4,0.3712574850299397
5,0.3772455089820319
6,0.3952095808383227
7,0.4101796407185603
8,0.42814371257485107
9,0.4341317365269468
10,0.4767441860465116
11,0.3139534883720927
12,0.3837209302325584
13,0.3604651162790695
14,0.40697674418604635
15,0.44186046511627897
16,0.46511627906976694
17,0.5465116279069764
18,0.6511627906976745
19,0.6860465116279069
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.49650349650349757
31,0.5314685314685317
32,0.5384615384615401
33,0.5524475524475525
34,0.5198135198135212
35,0.5198135198135203
36,0.4895104895104909
37,0.4475524475524484
38,0.42191142191142195
39,0.4149184149184153
40,0.3862275449101773
41,0.37125748502993616
42,0.37125748502994327
43,0.3712574850299397
44,0.37724550898203546
45,0.39520958083831914
46,0.4101796407185603
47,0.42814371257485107
48,0.4341317365269468
49,0.44910179640718795
50,0.31395348837209314
51,0.38372093023255793
52,0.36046511627906996
53,0.40697674418604635
54,0.44186046511627897
55,0.46511627906976694
56,0.5465116279069764
57,0.6511627906976747
58,0.6860465116279069
59,0.7325581395348835
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.5314685314685317
71,0.5384615384615383
72,0.5524475524475534
73,0.5198135198135212
74,0.5198135198135212
75,0.48951048951048914
76,0.4475524475524484
77,0.42191142191142195
78,0.4149184149184162
79,0.38694638694638694
80,0.3712574850299397
81,0.37125748502993616
82,0.37125748502994327
83,0.37724550898203546
84,0.39520958083831914
85,0.4101796407185567
86,0.42814371257485107
87,0.4341317365269468
88,0.44910179640718795
89,0.44610778443113475
90,0.3837209302325584
91,0.3604651162790695
92,0.4069767441860459
93,0.44186046511627897
94,0.4651162790697674
95,0.5465116279069766
96,0.6511627906976742
97,0.6860465116279073
98,0.7325581395348839
99,0.7325581395348835
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.5384615384615392
111,0.5524475524475525
112,0.5198135198135212
113,0.5198135198135212
114,0.48951048951048914
115,0.4475524475524475
116,0.42191142191142283
117,0.4149184149184153
118,0.38694638694638694
119,0.39160839160839256
120,0.3712574850299397
121,0.37125748502993616
122,0.377245508982039
123,0.3952095808383227
124,0.4101796407185603
125,0.42814371257485107
126,0.43413173652695036
127,0.4491017964071844
128,0.44610778443113475
129,0.4431137724550922
130,0.36046511627906996
131,0.40697674418604635
132,0.4418604651162785
133,0.46511627906976694
134,0.5465116279069766
135,0.6511627906976742
136,0.6860465116279069
137,0.7325581395348841
138,0.7325581395348839
139,0.8139534883720927
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.5524475524475525
151,0.5198135198135203
152,0.5198135198135212
153,0.48951048951049003
154,0.4475524475524475
155,0.42191142191142195
156,0.4149184149184162
157,0.38694638694638783
158,0.39160839160839256
159,0.3682983682983689
160,0.3712574850299397
161,0.3772455089820319
162,0.3952095808383227
163,0.4101796407185603
164,0.42814371257485107
165,0.4341317365269468
166,0.44910179640718795
167,0.44610778443113475
168,0.4431137724550922
169,0.45508982035928014
170,0.40697674418604635
171,0.44186046511627897
172,0.46511627906976694
173,0.5465116279069764
174,0.6511627906976745
175,0.6860465116279069
176,0.7325581395348837
177,0.7325581395348841
178,0.8139534883720931
179,0.8720930232558135
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.5198135198135212
191,0.5198135198135203
192,0.4895104895104909
193,0.4475524475524484
194,0.42191142191142195
195,0.4149184149184153
196,0.38694638694638783
197,0.39160839160839256
198,0.3682983682983689
199,0.3426573426573425
200,0.37724550898203546
201,0.39520958083831914
202,0.4101796407185603
203,0.42814371257485107
204,0.4341317365269468
205,0.44910179640718795
206,0.4461077844311383
207,0.44311377245508865
208,0.45508982035928014
209,0.44910179640718795
210,0.44186046511627897
211,0.46511627906976694
212,0.5465116279069764
213,0.6511627906976747
214,0.6860465116279069
215,0.7325581395348835
216,0.7325581395348837
217,0.8139534883720931
218,0.872093023255814
219,0.8488372093023253
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.5198135198135212
231,0.48951048951048914
232,0.4475524475524484
233,0.42191142191142195
234,0.4149184149184162
235,0.38694638694638694
236,0.39160839160839256
237,0.3682983682983689
238,0.3426573426573425
239,0.35431235431235386
240,0.39520958083831914
241,0.4101796407185567
242,0.42814371257485107
243,0.4341317365269468
244,0.44910179640718795
245,0.44610778443113475
246,0.4431137724550922
247,0.45508982035928014
248,0.44910179640718795
249,0.44610778443113475
250,0.4651162790697674
251,0.5465116279069766
252,0.6511627906976742
253,0.6860465116279073
254,0.7325581395348839
255,0.7325581395348835
256,0.8139534883720931
257,0.8720930232558142
258,0.8488372093023255
259,0.8720930232558135
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.48951048951048914
271,0.4475524475524475
272,0.42191142191142283
273,0.4149184149184153
274,0.38694638694638694
275,0.39160839160839256
276,0.3682983682983689
277,0.3426573426573425
278,0.35431235431235386
279,0.3449883449883453
280,0.4101796407185603
281,0.42814371257485107
282,0.43413173652695036
283,0.4491017964071844
284,0.44610778443113475
285,0.4431137724550922
286,0.45508982035928014
287,0.4491017964071844
288,0.44610778443113475
289,0.43113772455089716
290,0.5465116279069766
291,0.6511627906976742
292,0.6860465116279069
293,0.7325581395348841
294,0.7325581395348839
295,0.8139534883720927
296,0.8720930232558137
297,0.8488372093023253
298,0.872093023255814
299,0.8837209302325579
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.4475524475524475
311,0.42191142191142195
312,0.4149184149184162
313,0.38694638694638783
314,0.39160839160839256
315,0.3682983682983689
316,0.3426573426573434
317,0.35431235431235475
318,0.3449883449883462
319,0.3473193473193472
320,0.42814371257485107
321,0.4341317365269468
322,0.44910179640718795
323,0.44610778443113475
324,0.4431137724550922
325,0.45508982035928014
326,0.44910179640718795
327,0.44610778443113475
328,0.43113772455089716
329,0.44610778443113475
330,0.6511627906976745
331,0.6860465116279069
332,0.7325581395348837
333,0.7325581395348841
334,0.8139534883720931
335,0.8720930232558135
336,0.8488372093023253
337,0.8720930232558142
338,0.8837209302325582
339,0.8604651162790695
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.42191142191142195
351,0.4149184149184153
352,0.38694638694638783
353,0.39160839160839256
354,0.3682983682983689
355,0.3426573426573425
356,0.35431235431235475
357,0.3449883449883462
358,0.3473193473193472
359,0.3636363636363633
360,0.4341317365269468
361,0.44910179640718795
362,0.4461077844311383
363,0.44311377245508865
364,0.45508982035928014
365,0.44910179640718795
366,0.4461077844311383
367,0.43113772455089716
368,0.44610778443113475
369,0.46706586826347163
370,0.6860465116279069
371,0.7325581395348835
372,0.7325581395348837
373,0.8139534883720931
374,0.872093023255814
375,0.8488372093023253
376,0.8720930232558137
377,0.8837209302325579
378,0.8604651162790697
379,0.8720930232558135
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.4149184149184162
391,0.38694638694638694
392,0.39160839160839256
393,0.3682983682983689
394,0.3426573426573425
395,0.35431235431235386
396,0.3449883449883462
397,0.3473193473193463
398,0.3636363636363642
399,0.36596736596736523
400,0.44910179640718795
401,0.44610778443113475
402,0.4431137724550922
403,0.45508982035928014
404,0.44910179640718795
405,0.44610778443113475
406,0.4311377245509007
407,0.44610778443113475
408,0.46706586826347163
409,0.46407185628742553
410,0.7325581395348839
411,0.7325581395348835
412,0.8139534883720931
413,0.8720930232558142
414,0.8488372093023255
415,0.8720930232558135
416,0.8837209302325579
417,0.86046511627907
418,0.872093023255814
419,0.9069767441860461
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.38694638694638694
431,0.39160839160839256
432,0.3682983682983689
433,0.3426573426573425
434,0.35431235431235386
435,0.3449883449883453
436,0.3473193473193472
437,0.3636363636363651
438,0.3659673659673661
439,0.35431235431235386
440,0.44610778443113475
441,0.4431137724550922
442,0.45508982035928014
443,0.4491017964071844
444,0.44610778443113475
445,0.43113772455089716
446,0.4461077844311383
447,0.4670658682634752
448,0.46407185628742553
449,0.47604790419161347
450,0.7325581395348839
451,0.8139534883720927
452,0.8720930232558137
453,0.8488372093023253
454,0.872093023255814
455,0.8837209302325579
456,0.8604651162790695
457,0.8720930232558142
458,0.9069767441860466
459,0.8953488372093021
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.39160839160839256
471,0.3682983682983689
472,0.3426573426573434
473,0.35431235431235475
474,0.3449883449883462
475,0.3473193473193472
476,0.3636363636363651
477,0.3659673659673661
478,0.35431235431235386
479,0.35664335664335667
480,0.4431137724550922
481,0.45508982035928014
482,0.44910179640718795
483,0.44610778443113475
484,0.43113772455089716
485,0.44610778443113475
486,0.4670658682634752
487,0.46407185628742553
488,0.47604790419161347
489,0.4730538922155709
490,0.8139534883720931
491,0.8720930232558135
492,0.8488372093023253
493,0.8720930232558142
494,0.8837209302325582
495,0.8604651162790695
496,0.8720930232558137
497,0.9069767441860468
498,0.8953488372093021
499,0.8023255813953485
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.3682983682983689
511,0.3426573426573425
512,0.35431235431235475
513,0.3449883449883462
514,0.3473193473193472
515,0.3636363636363633
516,0.3659673659673661
517,0.35431235431235475
518,0.35664335664335756
519,0.3962703962703964
520,0.45508982035928014
521,0.44910179640718795
522,0.4461077844311383
523,0.43113772455089716
524,0.44610778443113475
