,0
0,0.3549382716049365
1,0.3333333333333357
2,0.3117283950617278
3,0.3209876543209873
4,0.3240740740740726
5,0.3148148148148202
6,0.3148148148148131
7,0.31790123456790553
8,0.35802469135802895
9,0.376543209876548
10,0.33333333333333326
11,0.3978494623655915
12,0.4086021505376345
13,0.33333333333333304
14,0.38709677419354827
15,0.4408602150537637
16,0.5161290322580645
17,0.5591397849462365
18,0.5806451612903225
19,0.4516129032258065
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.8041002277904332
31,0.7608200455580865
32,0.7517084282460136
33,0.7539863325740326
34,0.7357630979498864
35,0.7425968109339407
36,0.685649202733484
37,0.6583143507972666
38,0.6537585421412304
39,0.6628701594533029
40,0.3333333333333357
41,0.3117283950617278
42,0.32098765432098375
43,0.3240740740740691
44,0.3148148148148131
45,0.3148148148148202
46,0.317901234567902
47,0.35802469135802895
48,0.3765432098765409
49,0.39197530864197816
50,0.39784946236559127
51,0.4086021505376345
52,0.3333333333333335
53,0.3870967741935485
54,0.44086021505376327
55,0.5161290322580645
56,0.559139784946237
57,0.5806451612903225
58,0.4516129032258063
59,0.4086021505376345
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.7608200455580865
71,0.751708428246014
72,0.7539863325740308
73,0.7357630979498859
74,0.7425968109339403
75,0.6856492027334853
76,0.6583143507972657
77,0.6537585421412304
78,0.6628701594533029
79,0.6264236902050113
80,0.3117283950617278
81,0.3209876543209873
82,0.3240740740740726
83,0.3148148148148131
84,0.3148148148148131
85,0.31790123456790553
86,0.3580246913580254
87,0.37654320987654444
88,0.3919753086419746
89,0.3950617283950635
90,0.40860215053763405
91,0.3333333333333335
92,0.3870967741935485
93,0.4408602150537635
94,0.5161290322580643
95,0.5591397849462367
96,0.5806451612903225
97,0.45161290322580605
98,0.40860215053763405
99,0.3333333333333335
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.7517084282460136
111,0.7539863325740317
112,0.7357630979498841
113,0.7425968109339411
114,0.6856492027334848
115,0.6583143507972666
116,0.6537585421412295
117,0.6628701594533029
118,0.6264236902050113
119,0.6013667425968112
120,0.3209876543209873
121,0.3240740740740762
122,0.3148148148148131
123,0.3148148148148131
124,0.31790123456790553
125,0.3580246913580254
126,0.37654320987654444
127,0.3919753086419746
128,0.3950617283950635
129,0.4012345679012377
130,0.33333333333333326
131,0.3870967741935485
132,0.4408602150537635
133,0.5161290322580645
134,0.5591397849462363
135,0.5806451612903227
136,0.45161290322580694
137,0.40860215053763405
138,0.33333333333333326
139,0.3440860215053765
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.7539863325740317
151,0.7357630979498864
152,0.7425968109339403
153,0.6856492027334848
154,0.6583143507972666
155,0.6537585421412309
156,0.662870159453302
157,0.6264236902050122
158,0.6013667425968112
159,0.5808656036446465
160,0.3240740740740726
161,0.3148148148148202
162,0.3148148148148131
163,0.31790123456790553
164,0.35802469135802895
165,0.376543209876548
166,0.3919753086419746
167,0.3950617283950635
168,0.4012345679012306
169,0.413580246913579
170,0.38709677419354827
171,0.4408602150537637
172,0.5161290322580645
173,0.5591397849462365
174,0.5806451612903225
